id_categorie;lib_categorie;id_groupe;lib_groupe;id_cim_10;lib_cim_10
1;Certaines maladies infectieuses et parasitaires;A00;Choléra;A00.0;A Vibrio cholerae 01, biovar cholerae
1;Certaines maladies infectieuses et parasitaires;A00;Choléra;A00.1;A Vibrio cholerae 01, biovar El Tor
1;Certaines maladies infectieuses et parasitaires;A00;Choléra;A00.9;Choléra, sans précision
1;Certaines maladies infectieuses et parasitaires;A01;Fièvres typhoïde et paratyphoïde;A01.0;Fièvre typhoïde
1;Certaines maladies infectieuses et parasitaires;A01;Fièvres typhoïde et paratyphoïde;A01.1;Paratyphoïde A
1;Certaines maladies infectieuses et parasitaires;A01;Fièvres typhoïde et paratyphoïde;A01.2;Paratyphoïde B
1;Certaines maladies infectieuses et parasitaires;A01;Fièvres typhoïde et paratyphoïde;A01.3;Paratyphoïde C
1;Certaines maladies infectieuses et parasitaires;A01;Fièvres typhoïde et paratyphoïde;A01.4;Paratyphoïde, sans précision
1;Certaines maladies infectieuses et parasitaires;A02;Autres infections à Salmonella;A02.0;Entérite à Salmonella
1;Certaines maladies infectieuses et parasitaires;A02;Autres infections à Salmonella;A02.1;Septicémie à Salmonella
1;Certaines maladies infectieuses et parasitaires;A02;Autres infections à Salmonella;A02.2;Infection localisée à Salmonella
1;Certaines maladies infectieuses et parasitaires;A02;Autres infections à Salmonella;A02.8;Autres infections précisées à Salmonella
1;Certaines maladies infectieuses et parasitaires;A02;Autres infections à Salmonella;A02.9;Infection à Salmonella, sans précision
1;Certaines maladies infectieuses et parasitaires;A03;Shigellose;A03.0;Shigellose à Shigella dysenteriae
1;Certaines maladies infectieuses et parasitaires;A03;Shigellose;A03.1;Shigellose à Shigella flexneri
1;Certaines maladies infectieuses et parasitaires;A03;Shigellose;A03.2;Shigellose à Shigella boydii
1;Certaines maladies infectieuses et parasitaires;A03;Shigellose;A03.3;Shigellose à Shigella sonnei
1;Certaines maladies infectieuses et parasitaires;A03;Shigellose;A03.8;Autres shigelloses
1;Certaines maladies infectieuses et parasitaires;A03;Shigellose;A03.9;Shigellose, sans précision
1;Certaines maladies infectieuses et parasitaires;A04;Autres infections intestinales bactériennes;A04.0;Infection entéropathogène à Escherichia coli
1;Certaines maladies infectieuses et parasitaires;A04;Autres infections intestinales bactériennes;A04.1;Infection entérotoxigène à Escherichia coli
1;Certaines maladies infectieuses et parasitaires;A04;Autres infections intestinales bactériennes;A04.2;Infection entéro-invasive à Escherichia coli
1;Certaines maladies infectieuses et parasitaires;A04;Autres infections intestinales bactériennes;A04.3;Infection entéro-hémorragique à Escherichia coli
1;Certaines maladies infectieuses et parasitaires;A04;Autres infections intestinales bactériennes;A04.4;Autres infections intestinales à Escherichia coli
1;Certaines maladies infectieuses et parasitaires;A04;Autres infections intestinales bactériennes;A04.5;Entérite à Campylobacter
1;Certaines maladies infectieuses et parasitaires;A04;Autres infections intestinales bactériennes;A04.6;Entérite à Yersinia enterocolitica
1;Certaines maladies infectieuses et parasitaires;A04.7;Autres infections intestinales bactériennes;A04.70;Entérocolite à Clostridium difficile sans mégacôlon, sans autres complications au niveau des organes
1;Certaines maladies infectieuses et parasitaires;A04.7;Autres infections intestinales bactériennes;A04.71;Entérocolite à Clostridium difficile sans mégacôlon, avec dautres complications au niveau des organes
