code_ucd;libelle_traitement;type
9316207;CARBOPLATINE ACTAVIS 10 MG/ML Solution pour perfusion en flacon de 15 ml;
9316213;CARBOPLATINE ACTAVIS 10 MG/ML Solution pour perfusion en flacon de 45 ml;
9316236;CARBOPLATINE ACTAVIS 10 MG/ML Solution pour perfusion en flacon de 5 ml;
9316242;CARBOPLATINE ACTAVIS 10 MG/ML Solution pour perfusion en flacon de 60 ml;
9316710;FLUDARABINE ACTAVIS 25 MG/ML Poudre pour solution injectable ou perfusion en flacon de 50 mg;
9316874;INTELENCE 100 MG ComprimÇ en flacon;
9317170;CAMPTO 20 MG/ML Solution Ö diluer pour perfusion en flacon polypropyläne de 15 ml;
9326045;REFACTO AF 500 UI Poudre et solvant pour solution injectable;
9326246;IRINOTECAN MYLAN 20 MG/ML Solution Ö diluer pour perfusion en flacon de 2 ml;
9326252;IRINOTECAN MYLAN 20 MG/ML Solution Ö diluer pour perfusion en flacon de 5 ml;
9326393;IRINOTECAN TEVA 20 MG/ML Solution Ö diluer pour perfusion en flacon de 25 ml;
9327151;DOXORUBICINE EG 2 MG/ML solution pour perfusion en flacon de 5 ml;
9327725;MITOXANTRONE EBEWE 2 MG/ML Solution Ö diluer pour perfusion en flacon de 10 ml;
9327731;MITOXANTRONE EBEWE 2 MG/ML Solution Ö diluer pour perfusion en flacon de 12,5 ml;
9284393;EPIRUBICINE TEVA 2 MG/ML 1 Flacon de 10 ml, solution pour perfusion;
9284401;EPIRUBICINE TEVA 2 MG/ML 1 Flacon de 100 ml, solution pour perfusion;
9284418;EPIRUBICINE TEVA 2 MG/ML 1 Flacon de 25 ml, solution pour perfusion;
9284424;EPIRUBICINE TEVA 2 MG/ML 1 Flacon de 5 ml, solution pour perfusion;
9284499;PACLITAXEL MYLAN 6 MG/ML solution Ö diluer pour perfusion en flacon de 16,7 ml;
9284507;PACLITAXEL MYLAN 6 MG/ML solution Ö diluer pour perfusion en flacon de 25 ml;
9284513;PACLITAXEL MYLAN 6 MG/ML solution Ö diluer pour perfusion en flacon de 5 ml;
9302286;CARBOPLATINE HOSPIRA 10 MG/ ML solution injectable pour perfusion en flacon de 45 ml;
9302292;CARBOPLATINE HOSPIRA 10 MG/ ML solution injectable pour perfusion en flacon de 5 ml;
9302300;CARBOPLATINE HOSPIRA 10 MG/ ML solution injectable pour perfusion A/F 60 ml;
9302323;CARBOPLATINE HOSPIRA 10 MG/ ML solution injectable pour perfusion en flacon de 15 ml;
9303682;GAMMANORM 165 mg/ml 1 Flacon de 10 ml, solution injectable;
9303682;GAMMANORM 165 mg/ml 1 Flacon de 10 ml, solution injectable;
9303699;GAMMANORM 165 mg/ml INJ FL20ML;
9317187;CAMPTO 20 MG/ML Solution Ö diluer pour perfusion en flacon polypropyläne de 2 ml;
9327783;KUVAN 100 MG ComprimÇ pour solution buvable;
9327903;PACLITAXEL ACTAVIS 6 MG/ML Solution Ö diluer pour perfusion en flacon de 16,7 ml;
9327926;PACLITAXEL ACTAVIS 6 MG/ML Solution Ö diluer pour perfusion en flacon de 25 ml;
9327932;PACLITAXEL ACTAVIS 6 MG/ML Solution Ö diluer pour perfusion en flacon de 5 ml;
9327949;PACLITAXEL ACTAVIS 6 MG/ML Solution Ö diluer pour perfusion en flacon de 50 ml;
9328050;PREZISTA 400 MG ComprimÇ pelliculÇ;
9327748;MITOXANTRONE EBEWE 2 MG/ML Solution Ö diluer pour perfusion en flacon de 5 ml;
9328096;STELARA 45 MG INJ FL 0,5ML;
9328481;EPIRUBICINE MYLAN 2 MG/ML Solution pour perfusion en flacon de 50 ml;
9328788;KANOKAD 25 UI/ML DE FACTEUR IX Poudre et solvant pour solution injectable en flacon verre de 10 ml avec une aiguille de transfert;
9328788;KANOKAD 25 UI/ML DE FACTEUR IX Poudre et solvant pour solution injectable en flacon verre de 10 ml avec une aiguille de transfert;
9328794;KANOKAD 25 UI/ML DE FACTEUR IX Poudre et solvant pour solution injectable en flacon verre de 20 ml avec une aiguille de transfert;
9328794;KANOKAD 25 UI/ML DE FACTEUR IX Poudre et solvant pour solution injectable en flacon verre de 20 ml avec une aiguille de transfert;
9284536;PACLITAXEL MYLAN 6 MG/ML solution Ö diluer pour perfusion en flacon de 50 ml;
9284803;MITOXANTRONE MYLAN 2 MG/ML solution Ö diluer pour perfusion en flacon de 12,5 ml;
9284890;KIOVIG 100 mg/ml INJ FL200ML;
9284890;KIOVIG 100 mg/ml INJ FL200ML;
9285257;EPIRUBICINE WINTHROP 2 MG/ML solution pour perfusion en flacon de 10 ml;
9285263;EPIRUBICINE WINTHROP 2 MG/ML solution pour perfusion en flacon de 100 ml;
9285286;EPIRUBICINE WINTHROP 2 MG/ML solution pour perfusion en flacon de 25 ml;
9303699;GAMMANORM 165 mg/ml INJ FL20ML;
9303877;ISENTRESS 400 MG ComprimÇ pelliculÇ;
9304256;BENEFIX 1 000 UI INJ FL+SRG;
9304256;BENEFIX 1 000 UI INJ FL+SRG;
9304262;BENEFIX 2 000 UI INJ FL+SRG;
9304262;BENEFIX 2 000 UI INJ FL+SRG;
9304279;BENEFIX 250 UI INJ FL+SRG;
9328067;PREZISTA 600 MG ComprimÇ pelliculÇ;
9329196;GEMCITABINE TEVA 38 MG/ML Poudre pour solution pour perfusion en flacon de 1 000 mg;
9330182;IRINOTECAN EBEWE PHARMA FRANCE 20 MG/ML Solution Ö diluer pour perfusion (IV) en flacon de 2 ml;
9330199;IRINOTECAN EBEWE PHARMA FRANCE 20 MG/ML Solution Ö diluer pour perfusion (IV) en flacon de 5 ml;
9330207;IRINOTECAN TEVA SANTE 20 MG/ML Solution Ö diluer pour perfusion en flacon de 2 ml;
9330213;IRINOTECAN TEVA SANTE 20 MG/ML Solution Ö diluer pour perfusion en flacon de 5 ml;
9330265;TEMODAL 140 MG gÇlule;
9329173;GEMCITABINE TEVA 38 MG/ML en flacon de 10 ml, poudre pour solution pour perfusion;
9330963;THALIDOMIDE CELGENE 50 MG GÇlule;
9331170;FERRIPROX 100 MG/ML BUV FL500ML;
9331336;BETAFACT 100 UI/ML poudre et solvant pour solution injectable avec systäme de transfert et une aiguille-filtre (10 ml);
9331336;BETAFACT 100 UI/ML poudre et solvant pour solution injectable avec systäme de transfert et une aiguille-filtre (10 ml);
9331342;BETAFACT 100 UI/ML poudre et solvant pour solution injectable avec systäme de transfert et une aiguille-filtre (5 ml);
9331342;BETAFACT 100 UI/ML poudre et solvant pour solution injectable avec systäme de transfert et une aiguille-filtre (5 ml);
9285292;EPIRUBICINE WINTHROP 2 MG/ML solution pour perfusion en flacon de 5 ml;
9285300;EPIRUBICINE WINTHROP 2 MG/ML solution pour perfusion en flacon de 50 ml;
9285317;EPIRUBICINE RATIOPHARM 2 MG/ML Solution pour perfusion en flacon de 10 ml;
9285323;EPIRUBICINE RATIOPHARM 2 MG/ML Solution pour perfusion en flacon de 100 ml;
9285346;EPIRUBICINE RATIOPHARM 2 MG/ML Solution pour perfusion en flacon de 25 ml;
9285352;EPIRUBICINE RATIOPHARM 2 MG/ML 1 Flacon de 5 ml, solution pour perfusion;
9285381;PACLITAXEL EBEWE 6 mg/ml 1 Flacon de 16,7 ml, solution Ö diluer pour perfusion;
9304279;BENEFIX 250 UI INJ FL+SRG;
9304285;BENEFIX 500 UI INJ FL+SRG;
9304285;BENEFIX 500 UI INJ FL+SRG;
9304457;EPIRUBICINE MYLAN 2 MG/ML 1 Flacon de 10 ml, solution pour perfusion;
9304463;EPIRUBICINE MYLAN 2 MG/ML 1 Flacon de 100 ml, solution pour perfusion;
9304486;EPIRUBICINE MYLAN 2 MG/ML 1 Flacon de 25 ml, solution pour perfusion;
9304492;EPIRUBICINE MYLAN 2 MG/ML 1 Flacon de 5 ml, solution pour perfusion;
9330271;TEMODAL 180 MG gÇlule;
