CODE_UCD;LISTE;NOM_COURT;DT_DINSCRI;DT_FINSCRI;MOTIF_FIN;LABO_EXP;DT_SOURDOC;DT_APPRIX;PRIX_HT;PRIX_TTC;T_FACTURE;MARGE_TTC;DT_APTAUX;TAUX;DT_DCOUSUP;DT_FCOUSUP;DT_APMAJO;MAJO_971;MAJO_972;MAJO_973;MAJO_974;DT_DLPRIVE;DT_FLPRIVE;DT_DLPUBLI;DT_FLPUBLI;NOM_LONG1;NOM_LONG2;ETAT;COD_FORME;FORME;COD_CFORME;CPMTFORME;DDD;D_ADMINIST;PAR_VOIE;COD_ATC;CLASSE_ATC;COD_EPHMRA;CLA_EPHMRA;RH;PH;PIH;SP;PS
9316207;R;CARBOPLATINE ACTAVIS 10 MG/ML Solution pour perfusion en flacon de 15 ml;2009-06-11;2021-09-28;RADIATION;ACTAVIS FRANCE;2021-09-28;2010-01-01;9.0;9.19;N;22.0;2009-06-11;100.0;2009-06-11;;2009-06-11;1.16;1.16;1.16;1.16;;;;;CARBOPLATINE ACTAVIS 10 MG/ML Solution pour perfusion en flacon de 15 ml;;S;48;SOLUTION;296;SOLUTION POUR PERFUSION;;;;L01XA02;CARBOPLATINE;L01F;ANTICANCEREUX DERIVES DU PLATINE;N;O;N;O;N
9316213;R;CARBOPLATINE ACTAVIS 10 MG/ML Solution pour perfusion en flacon de 45 ml;2009-06-11;2021-09-28;RADIATION;ACTAVIS FRANCE;2021-09-28;2010-01-01;19.0;19.4;N;22.0;2009-06-11;100.0;2009-06-11;;2009-06-11;1.16;1.16;1.16;1.16;;;;;CARBOPLATINE ACTAVIS 10 MG/ML Solution pour perfusion en flacon de 45 ml;;S;48;SOLUTION;296;SOLUTION POUR PERFUSION;;;;L01XA02;CARBOPLATINE;L01F;ANTICANCEREUX DERIVES DU PLATINE;N;O;N;O;N
9316236;R;CARBOPLATINE ACTAVIS 10 MG/ML Solution pour perfusion en flacon de 5 ml;2009-06-11;2021-09-28;RADIATION;ACTAVIS FRANCE;2021-09-28;2010-01-01;5.0;5.11;N;22.0;2009-06-11;100.0;2009-06-11;;2009-06-11;1.16;1.16;1.16;1.16;;;;;CARBOPLATINE ACTAVIS 10 MG/ML Solution pour perfusion en flacon de 5 ml;;S;48;SOLUTION;296;SOLUTION POUR PERFUSION;;;;L01XA02;CARBOPLATINE;L01F;ANTICANCEREUX DERIVES DU PLATINE;N;O;N;O;N
9316242;R;CARBOPLATINE ACTAVIS 10 MG/ML Solution pour perfusion en flacon de 60 ml;2009-06-11;2021-09-28;RADIATION;ACTAVIS FRANCE;2021-09-28;2012-12-01;25.32;25.85;N;22.0;2009-06-11;100.0;2009-06-11;;2009-06-11;1.16;1.16;1.16;1.16;;;;;CARBOPLATINE ACTAVIS 10 MG/ML Solution pour perfusion en flacon de 60 ml;;S;48;SOLUTION;296;SOLUTION POUR PERFUSION;;;;L01XA02;CARBOPLATINE;L01F;ANTICANCEREUX DERIVES DU PLATINE;N;O;N;O;N
9316710;R;FLUDARABINE ACTAVIS 25 MG/ML Poudre pour solution injectable ou perfusion en flacon de 50 mg;2009-04-04;2021-01-22;RADIATION;ACTAVIS FRANCE;2021-01-22;2010-01-01;174.0;177.65;N;22.0;2009-04-04;100.0;2009-04-04;;2009-04-04;1.16;1.16;1.16;1.16;;;;;FLUDARABINE ACTAVIS 25 MG/ML Poudre pour solution injectable ou perfusion en flacon de 50 mg;;S;44;POUDRE;312;POUDRE POUR SOLUTION INJECTABLE POUDRE P;;;;L01BB05;FLUDARABINE;L01B;ANTIMETABOLITES;N;O;N;N;N
9316874;R;INTELENCE 100 MG ComprimÇ en flacon;2009-08-21;;;JANSSEN-CILAG;2021-06-30;2021-07-01;2.128;2.17;N;22.0;2009-08-21;100.0;;;2009-08-21;1.16;1.16;1.16;1.16;;;;;INTELENCE 100 MG ComprimÇ en flacon;;D;15;COMPRIME;20;NE PAS ECRASER ORAL(E);;;;J05AG04;ETRAVIRINE;J05C3;INHIBITEURS DE LA TRANSCRIPTASE REVERSE NON NUCLEOSIDIQUES;N;N;N;N;N
9317170;R;CAMPTO 20 MG/ML Solution Ö diluer pour perfusion en flacon polypropyläne de 15 ml;2009-03-26;2021-09-28;RADIATION;PFIZER;2021-09-28;2021-04-01;71.55;73.05;N;22.0;2009-03-26;100.0;2009-03-26;;2009-03-26;1.16;1.16;1.16;1.16;;;;;CAMPTO 20 MG/ML Solution Ö diluer pour perfusion en flacon polypropyläne de 15 ml;;S;48;SOLUTION;290;SOLUTION A DILUER POUR PERFUSION;;;;L01CE02;IRINOTECAN;L01C3;ANTICANCEREUX DERIVES DE LA CAMPTOTHECINE;N;O;N;O;N
9326045;T;REFACTO AF 500 UI Poudre et solvant pour solution injectable;2009-07-29;;;PFIZER;2017-05-04;2017-07-01;324.0;330.8;;;;;;;2009-07-29;1.16;1.16;1.16;1.16;2009-07-29;;2009-07-29;;REFACTO AF 500 UI Poudre et solvant pour solution injectable;;S;44;POUDRE;314;POUDRE ET SOLVANT POUR SOLUTION INJ;;;;B02BD02;FACTEUR VIII DE COAGULATION;B02D1;FACTEUR VIII, SUBSTITUTS INCLUS;N;N;N;N;N
9326246;R;IRINOTECAN MYLAN 20 MG/ML Solution Ö diluer pour perfusion en flacon de 2 ml;2009-09-23;2021-09-28;RADIATION;MYLAN SAS;2021-09-28;2021-04-01;9.54;9.74;N;22.0;2009-09-23;100.0;2009-09-23;;2009-09-23;1.16;1.16;1.16;1.16;;;;;IRINOTECAN MYLAN 20 MG/ML Solution Ö diluer pour perfusion en flacon de 2 ml;;D;48;SOLUTION;290;SOLUTION A DILUER POUR PERFUSION;;;;L01CE02;IRINOTECAN;L01C3;ANTICANCEREUX DERIVES DE LA CAMPTOTHECINE;N;O;N;O;N
9326252;R;IRINOTECAN MYLAN 20 MG/ML Solution Ö diluer pour perfusion en flacon de 5 ml;2009-09-23;2021-09-28;RADIATION;MYLAN SAS;2021-09-28;2021-04-01;23.75;24.25;N;22.0;2009-09-23;100.0;2009-09-23;;2009-09-23;1.16;1.16;1.16;1.16;;;;;IRINOTECAN MYLAN 20 MG/ML Solution Ö diluer pour perfusion en flacon de 5 ml;;D;48;SOLUTION;290;SOLUTION A DILUER POUR PERFUSION;;;;L01CE02;IRINOTECAN;L01C3;ANTICANCEREUX DERIVES DE LA CAMPTOTHECINE;N;O;N;O;N
9326393;R;IRINOTECAN TEVA 20 MG/ML Solution Ö diluer pour perfusion en flacon de 25 ml;2009-09-30;2021-09-28;RADIATION;TEVA SANTE;2021-09-28;2021-04-01;119.25;121.75;N;22.0;2009-09-30;100.0;2009-09-30;;2009-09-30;1.16;1.16;1.16;1.16;;;;;IRINOTECAN TEVA 20 MG/ML Solution Ö diluer pour perfusion en flacon de 25 ml;;S;48;SOLUTION;290;SOLUTION A DILUER POUR PERFUSION;;;;L01CE02;IRINOTECAN;L01C3;ANTICANCEREUX DERIVES DE LA CAMPTOTHECINE;N;O;N;O;O
9327151;R;DOXORUBICINE EG 2 MG/ML solution pour perfusion en flacon de 5 ml;2012-01-25;2021-09-28;RADIATION;EG LABO;2021-09-28;2012-01-25;4.0;4.08;N;22.0;2012-01-25;100.0;;;2012-01-25;1.16;1.16;1.16;1.16;;;;;DOXORUBICINE EG 2 MG/ML solution pour perfusion en flacon de 5 ml;;S;48;SOLUTION;296;SOLUTION POUR PERFUSION;;;;L01DB01;DOXORUBICINE;L01D;ANTIBIOTIQUES ANTINEOPLASIQUES;N;O;N;O;N
9327725;R;MITOXANTRONE EBEWE 2 MG/ML Solution Ö diluer pour perfusion en flacon de 10 ml;2009-11-20;2020-02-19;RADIATION;EBEWE PHARMA;2020-02-19;2012-01-01;229.5;234.32;N;22.0;2009-11-20;100.0;2009-11-20;;2009-11-20;1.16;1.16;1.16;1.16;;;;;MITOXANTRONE EBEWE 2 MG/ML Solution Ö diluer pour perfusion en flacon de 10 ml;;S;48;SOLUTION;290;SOLUTION A DILUER POUR PERFUSION;;;;L01DB07;MITOXANTRONE;L01D;ANTIBIOTIQUES ANTINEOPLASIQUES;N;O;N;O;N
9327731;R;MITOXANTRONE EBEWE 2 MG/ML Solution Ö diluer pour perfusion en flacon de 12,5 ml;2009-11-20;2020-02-19;RADIATION;EBEWE PHARMA;2020-02-19;2012-01-01;259.2;264.64;N;22.0;2009-11-20;100.0;2009-11-20;;2009-11-20;1.16;1.16;1.16;1.16;;;;;MITOXANTRONE EBEWE 2 MG/ML Solution Ö diluer pour perfusion en flacon de 12,5 ml;;S;48;SOLUTION;290;SOLUTION A DILUER POUR PERFUSION;;;;L01DB07;MITOXANTRONE;L01D;ANTIBIOTIQUES ANTINEOPLASIQUES;N;O;N;O;N
9284393;R;EPIRUBICINE TEVA 2 MG/ML 1 Flacon de 10 ml, solution pour perfusion;2008-06-11;;;TEVA CLASSICS;2021-03-23;2021-04-01;15.75;16.08;N;22.0;2008-06-11;100.0;2008-06-11;;2008-06-11;1.16;1.16;1.16;1.16;;;;;EPIRUBICINE TEVA 2 MG/ML 1 Flacon de 10 ml, solution pour perfusion;;S;48;SOLUTION;296;SOLUTION POUR PERFUSION;;;;L01DB03;EPIRUBICINE;L01D;ANTIBIOTIQUES ANTINEOPLASIQUES;N;O;N;O;O
9284401;R;EPIRUBICINE TEVA 2 MG/ML 1 Flacon de 100 ml, solution pour perfusion;2008-06-11;;;TEVA CLASSICS;2021-03-23;2021-04-01;118.8;121.29;N;22.0;2008-06-11;100.0;2008-06-11;;2008-06-11;1.16;1.16;1.16;1.16;;;;;EPIRUBICINE TEVA 2 MG/ML 1 Flacon de 100 ml, solution pour perfusion;;S;48;SOLUTION;296;SOLUTION POUR PERFUSION;;;;L01DB03;EPIRUBICINE;L01D;ANTIBIOTIQUES ANTINEOPLASIQUES;N;O;N;O;O
