Code postal 2022;Libellé poste;Population 2019 desservie par le code postal, au minimum (en ne comptabilisant aucune commune multidistribuée);Population 2019 desservie par le code postal, au maximum (en comptabilisant toutes les communes multidistribuée);Code géographique PMSI 2022;Population 2019 desservie par le code géo PMSI
01000;BOURG-EN-BRESSE; 47 054; 47 054;01000; 47 054
01090;MONTMERLE-SUR-SAÔNE; 9 048; 9 048;01090; 9 048
01100;OYONNAX; 33 577; 33 577;01100; 33 577
01110;PLATEAU D'HAUTEVILLE; 6 469; 6 469;01110; 6 469
01120;MONTLUEL; 19 078; 19 078;01120; 19 078
01130;NANTUA; 3 550; 7 004;01C02; 13 907
01140;SAINT-DIDIER-SUR-CHALARONNE; 9 094; 9 094;01140; 9 094
01150;LAGNIEU; 18 378; 18 378;01150; 18 378
01160;PONT-D'AIN; 10 377; 10 377;01160; 10 377
01170;GEX; 26 952; 27 264;01170; 26 952
01190;PONT-DE-VAUX; 9 927; 10 292;01190; 10 292
01200;VALSERHÔNE; 21 237; 21 698;01200; 21 237
01210;FERNEY-VOLTAIRE; 16 666; 16 666;01210; 16 666
01220;DIVONNE-LES-BAINS; 11 768; 11 768;01220; 11 768
01230;SAINT-RAMBERT-EN-BUGEY; 5 261; 5 261;01230; 5 261
01240;SAINT-PAUL-DE-VARAX; 7 846; 7 846;01240; 7 846
01250;CEYZÉRIAT; 16 794; 16 794;01250; 16 794
01260;VALROMEY-SUR-SÉRAN; 3 647; 3 647;01260; 3 647
01270;COLIGNY; 3 982; 3 982;01270; 3 982
01280;PRÉVESSIN-MOËNS; 8 711; 8 711;01280; 8 711
01290;GRIÈGES; 9 896; 11 654;01C01; 17 133
01300;BELLEY; 20 256; 21 415;01300; 21 415
01310;POLLIAT; 9 944; 9 944;01310; 9 944
01320;CHALAMONT; 6 520; 6 520;01320; 6 520
01330;VILLARS-LES-DOMBES; 8 992; 8 992;01330; 8 992
01340;ATTIGNAT; 15 300; 15 300;01340; 15 300
01350;CULOZ; 6 376; 6 376;01350; 6 376
01360;BÉLIGNEUX; 10 098; 10 098;01360; 10 098
01370;SAINT-ÉTIENNE-DU-BOIS; 7 698; 7 698;01370; 7 698
01380;BÂGÉ-DOMMARTIN; 8 096; 8 461;01380; 8 096
01390;SAINT-ANDRÉ-DE-CORCY; 12 593; 12 593;01390; 12 593
01400;CHÂTILLON-SUR-CHALARONNE; 11 302; 11 302;01400; 11 302
01410;CHAMPFROMIER;  963; 2 021;01410; 1 736
01420;CORBONOD; 3 048; 3 048;01420; 3 048
01430;SAINT-MARTIN-DU-FRÊNE; 4 111; 4 111;01430; 4 111
01440;VIRIAT; 6 595; 6 595;01440; 6 595
01450;PONCIN; 3 590; 3 590;01450; 3 590
01460;MONTRÉAL-LA-CLUSE; 6 903; 10 357;01C02; 13 907
01470;SERRIÈRES-DE-BRIORD; 3 459; 3 459;01470; 3 459
01480;JASSANS-RIOTTIER; 18 909; 18 909;01480; 18 909
01500;AMBÉRIEU-EN-BUGEY; 24 799; 24 799;01500; 24 799
01510;ARTEMARE; 3 862; 5 021;01510; 3 862
01540;VONNAS; 4 861; 4 861;01540; 4 861
01550;COLLONGES; 4 081; 4 081;01550; 4 081
01560;SAINT-TRIVIER-DE-COURTES; 6 414; 6 414;01560; 6 414
01570;FEILLENS; 5 488; 5 488;01570; 5 488
01580;IZERNORE; 3 860; 3 860;01580; 3 860
01590;DORTAN; 2 736; 2 736;01590; 2 736
01600;TRÉVOUX; 24 099; 24 099;01600; 24 099
