Code postal 2022;Libellé poste;Code géographique PMSI 2022;latitude;longitude
01000;BOURG-EN-BRESSE;01000;46.2057;5.2075
01090;MONTMERLE-SUR-SAÔNE;01090;46.0744;4.78565
01100;OYONNAX;01100;46.2069;5.636914285714285
01110;PLATEAU D'HAUTEVILLE;01110;45.9779;5.572572727272728
01120;MONTLUEL;01120;45.8137;5.057042857142856
01130;NANTUA;01C02;46.2152;5.709536363636364
01140;SAINT-DIDIER-SUR-CHALARONNE;01140;46.1389;4.8392125
01150;LAGNIEU;01150;45.8766;5.334581818181818
01160;PONT-D'AIN;01160;46.0558;5.317271428571429
01170;GEX;01170;46.3092;6.0478875
01190;PONT-DE-VAUX;01190;46.471;4.958175
01200;VALSERHÔNE;01200;46.2227;5.824372727272728
01210;FERNEY-VOLTAIRE;01210;46.2997;6.102133333333334
01220;DIVONNE-LES-BAINS;01220;46.3151;6.122266666666666
01230;SAINT-RAMBERT-EN-BUGEY;01230;45.9473;5.469990909090909
01240;SAINT-PAUL-DE-VARAX;01240;46.0694;5.1279125
01250;CEYZÉRIAT;01250;46.3102;5.37881052631579
01260;VALROMEY-SUR-SÉRAN;01260;46.0338;5.685942857142857
01270;COLIGNY;01270;46.3466;5.317028571428572
01280;PRÉVESSIN-MOËNS;01280;46.2539;6.0817
01290;GRIÈGES;01C01;46.2204;4.88458
01300;BELLEY;01300;45.7432;5.669607142857143
01310;POLLIAT;01310;46.2731;5.115925
01320;CHALAMONT;01320;46.0345;5.2084166666666665
01330;VILLARS-LES-DOMBES;01330;45.9989;5.008
01340;ATTIGNAT;01340;46.3058;5.118363636363636
01350;CULOZ;01350;45.8351;5.757088888888889
01360;BÉLIGNEUX;01360;45.8677;5.1306400000000005
01370;SAINT-ÉTIENNE-DU-BOIS;01370;46.3313;5.345957142857143
01380;BÂGÉ-DOMMARTIN;01380;46.3374;4.966085714285714
01390;SAINT-ANDRÉ-DE-CORCY;01390;45.9554;4.9255125
01400;CHÂTILLON-SUR-CHALARONNE;01400;46.1058;4.988989999999999
01410;CHAMPFROMIER;01410;46.3744;5.918200000000001
01420;CORBONOD;01420;45.959;5.804
01430;SAINT-MARTIN-DU-FRÊNE;01430;46.0681;5.53748
01440;VIRIAT;01440;46.2548;5.2157
01450;PONCIN;01450;46.1529;5.458655555555556
01460;MONTRÉAL-LA-CLUSE;01C02;46.1833;5.564516666666667
01470;SERRIÈRES-DE-BRIORD;01470;45.8071;5.4669
01480;JASSANS-RIOTTIER;01480;45.9929;4.792544444444444
01500;AMBÉRIEU-EN-BUGEY;01500;45.9891;5.336437500000001
01510;ARTEMARE;01510;45.8264;5.6364
01540;VONNAS;01540;46.2006;4.9752
01550;COLLONGES;01550;46.1669;5.9197
01560;SAINT-TRIVIER-DE-COURTES;01560;46.4803;5.111491666666667
01570;FEILLENS;01570;46.3343;4.88705
01580;IZERNORE;01580;46.2573;5.554925
01590;DORTAN;01590;46.3459;5.6631
01600;TRÉVOUX;01600;45.9358;4.800811111111111
01630;SAINT-GENIS-POUILLY;01630;46.1905;5.97502
01640;JUJURIEUX;01640;46.0305;5.419625
01660;MÉZÉRIAT;01660;46.1978;5.0619000000000005
01680;LHUIS;01680;45.7133;5.554766666666667
01700;MIRIBEL;01700;45.8144;4.96575
01710;THOIRY;01710;46.2376;5.9811
01750;REPLONGES;01C01;46.276;4.872766666666667
01800;MEXIMIEUX;01800;45.9082;5.167341666666666
01851;MARBOZ;01851;46.3429;5.2572
01960;PÉRONNAS;01960;46.1332;5.1744666666666665
01990;SAINT-TRIVIER-SUR-MOIGNANS;01990;46.0723;4.90055
02000;LAON;02000;49.6143;3.5761192307692307
02100;SAINT-QUENTIN;02100;49.8489;3.3107545454545457
02110;BOHAIN-EN-VERMANDOIS;02110;49.921;3.448217391304348
02120;GUISE;02120;49.8792;3.652673076923077
02130;FÈRE-EN-TARDENOIS;02130;49.1775;3.5586999999999995
02140;VERVINS;02140;49.8609;3.890678787878788
02150;SISSONNE;02150;49.5711;3.97715
02160;LES SEPTVALLONS;02160;49.3764;3.721715384615384
02170;LE NOUVION-EN-THIÉRACHE;02170;49.9667;3.78284
02190;VILLENEUVE-SUR-AISNE;02190;49.4204;3.984741176470589
02200;SOISSONS;02200;49.3452;3.3238000000000003
02210;COINCY;02210;49.2056;3.3533629629629638
02220;BRAINE;02220;49.2901;3.548646666666667
02230;FRESNOY-LE-GRAND;02230;49.9476;3.4184
02240;RIBEMONT;02C02;49.7201;3.425835294117647
02250;MARLE;02250;49.7401;3.789594444444445
02260;LA CAPELLE;02260;50.0233;3.899941666666667
