Code_Titre_1;Lib_Titre_1;Code_Titre_2;Lib_Titre_2;Code_Titre_3;Lib_Titre_3;Code_Titre_4;Lib_Titre_4;ID_CCAM;Lib_CCAM;Activite;Phase
1;SYSTÈME NERVEUX CENTRAL, PÉRIPHÉRIQUE ET AUTONOME;01.01;ACTES DIAGNOSTIQUES SUR LE SYSTÈME NERVEUX;01.01.01;Explorations électrophysiologiques du système nerveux;01.01.01.01;Électromyographie [EMG];AHQP001;Électromyographie par électrode de surface, sans enregistrement vidéo;1;0
1;SYSTÈME NERVEUX CENTRAL, PÉRIPHÉRIQUE ET AUTONOME;01.01;ACTES DIAGNOSTIQUES SUR LE SYSTÈME NERVEUX;01.01.01;Explorations électrophysiologiques du système nerveux;01.01.01.01;Électromyographie [EMG];AHQP002;Électromyographie par électrode de surface, avec enregistrement vidéo;1;0
1;SYSTÈME NERVEUX CENTRAL, PÉRIPHÉRIQUE ET AUTONOME;01.01;ACTES DIAGNOSTIQUES SUR LE SYSTÈME NERVEUX;01.01.01;Explorations électrophysiologiques du système nerveux;01.01.01.01;Électromyographie [EMG];AHQB027;Électromyographie de 1 ou 2 muscles striés au repos et à l'effort sans stimulodétection, par électrode aiguille;1;0
1;SYSTÈME NERVEUX CENTRAL, PÉRIPHÉRIQUE ET AUTONOME;01.01;ACTES DIAGNOSTIQUES SUR LE SYSTÈME NERVEUX;01.01.01;Explorations électrophysiologiques du système nerveux;01.01.01.01;Électromyographie [EMG];AHQB025;Électromyographie de 1 ou 2 muscles striés au repos et à l'effort avec stimulodétection, par électrode aiguille;1;0
1;SYSTÈME NERVEUX CENTRAL, PÉRIPHÉRIQUE ET AUTONOME;01.01;ACTES DIAGNOSTIQUES SUR LE SYSTÈME NERVEUX;01.01.01;Explorations électrophysiologiques du système nerveux;01.01.01.01;Électromyographie [EMG];[F, P, S, U];Formation : spécifique à cet acte en plus de la formation initiale;;
1;SYSTÈME NERVEUX CENTRAL, PÉRIPHÉRIQUE ET AUTONOME;01.01;ACTES DIAGNOSTIQUES SUR LE SYSTÈME NERVEUX;01.01.01;Explorations électrophysiologiques du système nerveux;01.01.01.01;Électromyographie [EMG];AHQB024;Électromyographie de 3 à 6 muscles striés au repos et à l'effort sans stimulodétection, par électrode aiguille;1;0
1;SYSTÈME NERVEUX CENTRAL, PÉRIPHÉRIQUE ET AUTONOME;01.01;ACTES DIAGNOSTIQUES SUR LE SYSTÈME NERVEUX;01.01.01;Explorations électrophysiologiques du système nerveux;01.01.01.01;Électromyographie [EMG];[F, P, S, U];Formation : spécifique à cet acte en plus de la formation initiale;;
1;SYSTÈME NERVEUX CENTRAL, PÉRIPHÉRIQUE ET AUTONOME;01.01;ACTES DIAGNOSTIQUES SUR LE SYSTÈME NERVEUX;01.01.01;Explorations électrophysiologiques du système nerveux;01.01.01.01;Électromyographie [EMG];AHQB026;Électromyographie de 3 à 6 muscles striés au repos et à l'effort avec stimulodétection, par électrode aiguille;1;0
1;SYSTÈME NERVEUX CENTRAL, PÉRIPHÉRIQUE ET AUTONOME;01.01;ACTES DIAGNOSTIQUES SUR LE SYSTÈME NERVEUX;01.01.01;Explorations électrophysiologiques du système nerveux;01.01.01.01;Électromyographie [EMG];[F, P, S, U];Formation : spécifique à cet acte en plus de la formation initiale;;
1;SYSTÈME NERVEUX CENTRAL, PÉRIPHÉRIQUE ET AUTONOME;01.01;ACTES DIAGNOSTIQUES SUR LE SYSTÈME NERVEUX;01.01.01;Explorations électrophysiologiques du système nerveux;01.01.01.01;Électromyographie [EMG];AHQB013;Électromyographie de 7 muscles striés ou plus au repos et à l'effort, par électrode aiguille;1;0
1;SYSTÈME NERVEUX CENTRAL, PÉRIPHÉRIQUE ET AUTONOME;01.01;ACTES DIAGNOSTIQUES SUR LE SYSTÈME NERVEUX;01.01.01;Explorations électrophysiologiques du système nerveux;01.01.01.01;Électromyographie [EMG];AHQB032;Électromyographie de 3 à 6 muscles striés au repos et à l'effort par électrode aiguille, avec mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 2 à 4 nerfs sans étude de la conduction proximale par électrode de surface, et mesure des vitesses de la conduction sensitive et de l'amplitude du potentiel sensitif de 2 à 4 nerfs;1;0
1;SYSTÈME NERVEUX CENTRAL, PÉRIPHÉRIQUE ET AUTONOME;01.01;ACTES DIAGNOSTIQUES SUR LE SYSTÈME NERVEUX;01.01.01;Explorations électrophysiologiques du système nerveux;01.01.01.01;Électromyographie [EMG];AHQB033;Électromyographie de 7 muscles striés ou plus au repos et à l'effort par électrode aiguille, avec mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 5 nerfs ou plus avec étude de la conduction proximale par électrode de surface, et mesure des vitesses de la conduction sensitive et de l'amplitude du potentiel sensitif de 5 nerfs ou plus;1;0
1;SYSTÈME NERVEUX CENTRAL, PÉRIPHÉRIQUE ET AUTONOME;01.01;ACTES DIAGNOSTIQUES SUR LE SYSTÈME NERVEUX;01.01.01;Explorations électrophysiologiques du système nerveux;01.01.01.01;Électromyographie [EMG];AHQB015;Électromyographie de fibre unique, par électrode aiguille;1;0
1;SYSTÈME NERVEUX CENTRAL, PÉRIPHÉRIQUE ET AUTONOME;01.01;ACTES DIAGNOSTIQUES SUR LE SYSTÈME NERVEUX;01.01.01;Explorations électrophysiologiques du système nerveux;01.01.01.01;Électromyographie [EMG];AHQB006;Macroélectromyographie, par électrode aiguille;1;0
1;SYSTÈME NERVEUX CENTRAL, PÉRIPHÉRIQUE ET AUTONOME;01.01;ACTES DIAGNOSTIQUES SUR LE SYSTÈME NERVEUX;01.01.01;Explorations électrophysiologiques du système nerveux;01.01.01.01;Électromyographie [EMG];AHQB001;Électromyographie, au lit du malade;1;0
