id_um_mco;lib_um_mco;id_type_um_mco;type_um_mco;id_unv_si;id_unv_hors_si
01AC ; Réanimation adulte hors grands brûlés;4;Autres;0;0
01BC ; Réanimation adulte grands brûlés;4;Autres;0;0
02AC ; Soins intensifs en cardiologie = USIC;4;Autres;0;0
02BC ; Autres soins intensifs (hors UNV, USIC, néonatologie);4;Autres;0;0
03AC ; Soins surveillance continue adulte hors grands brûlés;4;Autres;0;0
04C ; Néonatologie sans SI;4;Autres;0;0
05C ; Soins intensifs en néonatologie;4;Autres;0;0
06C ; Réanimation néonatale;4;Autres;0;0
07AC ; UHCD structures des urgences générales;4;Autres;0;0
07BC ; UHCD structures des urgences pédiatriques;4;Autres;0;0
08C ; Soins et accompagnement des malades en phase terminale (unité de soins palliatifs);4;Autres;0;0
13AC ; Réanimation pédiatrique hors grand brûlés;4;Autres;0;0
14AC ; Soins surveillance continue pédiatrique hors grands brûlés;4;Autres;0;0
14BC ; Soins surveillance continue pédiatrique grands brûlés;4;Autres;0;0
16C ; Unité d'hématologie équipée d'un système de traitement de l'air;4;Autres;0;0
17C ; UNV hors SI;1;UNV;0;1
18C ; Soins intensifs en UNV;1;UNV;1;0
19C ; Unité d'addictologie de recours et de référence;4;Autres;0;0
20C ; Traitement des grands brûlés (hors réanimation et surveillance continue grands brûlés);4;Autres;0;0
26C ; Unité hospitalière sécurisée interrégionale UHSI;4;Autres;0;0
27C ; Médecine gériatrique;2;Gériatrie;0;0
28C ; Médecine pédiatrique (hors unité d'oncologie médicale, spécialisée ou non);4;Autres;0;0
29C ; Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée;4;Autres;0;0
40C ; Unité d'hospitalisation d'oncologie médicale;4;Autres;0;0
41C ; Unité d'hospitalisation d'oncologie chirurgicale;4;Autres;0;0
50C ; Chirurgie cardiaque;4;Autres;0;0
51C ; Neurochirurgie;3;Neuro;0;0
52C ; Autre chirurgie pédiatrique (ou chirurgie indifférenciée pédiatrique);4;Autres;0;0
53C ; Autre chirurgie adulte (ou chirurgie indifférenciée adulte);4;Autres;0;0
60C ; Centre identifié pour la pose de valves aortiques par voie percutanée;4;Autres;0;0
70C; Gynécologie seule;4;Autres;0;0
71C ; Obstétrique seule;4;Autres;0;0
73C ; Gynécologie obstétrique indifférenciée;4;Autres;0;0
21P ; Hémodialyse en centre pour adulte;4;Autres;0;0
27P ; Médecine gériatrique;2;Gériatrie;0;0
28P ; Médecine pédiatrique (hors unité d'oncologie médicale, spécialisée ou non);4;Autres;0;0
29P ; Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée;4;Autres;0;0
40P ; Unité d'hospitalisation d'oncologie médicale;4;Autres;0;0
41P ; Unité d'hospitalisation d'oncologie chirurgicale;4;Autres;0;0
42P ; Unité de radiothérapie ambulatoire;4;Autres;0;0
43P ; Unité de chimiothérapie ambulatoire;4;Autres;0;0
51P ; Neurochirurgie;3;Neuro;0;0
52P ; Autre chirurgie pédiatrique (ou chirurgie indifférenciée pédiatrique);4;Autres;0;0
53P ; Autre chirurgie adulte (ou chirurgie indifférenciée adulte);4;Autres;0;0
61P ; Unité de prise en charge de la douleur chronique;4;Autres;0;0
NA ; Inconnu;4;Autres;0;0
19M ; Unité d'addictologie de recours et de référence;4;Autres;0;0
27M ; Médecine gériatrique;2;Gériatrie;0;0
28M ; Médecine pédiatrique (hors unité d'oncologie médicale, spécialisée ou non);4;Autres;0;0
29M ; Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée;4;Autres;0;0
40M ; Unité d'hospitalisation d'oncologie médicale;4;Autres;0;0
50M ; Chirurgie cardiaque;4;Autres;0;0
51M ; Neurochirurgie;3;Neuro;0;0
53M ; Autre chirurgie adulte (ou chirurgie indifférenciée adulte);4;Autres;0;0
70M ; Gynécologie seule;4;Autres;0;0
71M ; Obstétrique seule;4;Autres;0;0
73M ; Gynécologie obstétrique indifférenciée;4;Autres;0;0
